request_id,timestamp,user_id,user_role,requested_resource,request_method,referrer,user_agent,ip_address,session_id,auth_method,auth_token_validity,login_status,resource_classification,resource_type,response_code,expected_access,actual_access_granted,vulnerability_type,attack_payload,anomaly_score,attack_detected,risk_score,response_time_ms
7,2025-04-24T17:14:14.179854,28,Admin,/api/user/21/role,PUT,,Opera/8.42.(X11; Linux i686; fy-NL) Presto/2.9.175 Version/11.00,109.152.157.8,ccd54072-92e5-4498-8822-d9e318d4eed4,JWT,Valid,Logged In,restricted,user,200,Admin Only,Allowed,Yes (IDOR),{'role' : 'admin'},0.0759,1,1,287
154,2025-04-24T17:14:14.270584,16,Guest,/api/categories,GET,http://clark.com/,Opera/8.39.(X11; Linux x86_64; bho-IN) Presto/2.9.164 Version/11.00,170.196.84.35,bf9c45a2-2f69-4152-8b63-63f86e514baf,OAuth,Valid,Guest,public,category,200,Allowed,Allowed,No,None,0.0367,0,0.2584,438
153,2025-04-24T17:14:14.277923,47,Guest,/api/products,GET,https://harris.com/,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/63.0.880.0 Safari/533.2",17.239.56.189,3ab73d33-67f0-456b-aa95-7d5cdf6666d5,None,Valid,Guest,public,product,200,Allowed,Allowed,No,' OR 1=1--,0.0616,0,0.2006,128
152,2025-04-24T17:14:14.271390,41,User,/api/products,GET,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/42.0.830.0 Mobile/29Q744 Safari/535.0",25.140.230.147,d1490b7e-db5e-4de4-82e3-c8099e2939b7,OAuth,Valid,Logged In,public,product,200,Allowed,Allowed,No,None,0.0596,0,0.1849,288
397,2025-04-24T17:14:14.445673,5,Admin,/api/user/profile,GET,https://www.williams.biz/,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_5 rv:3.0; nb-NO) AppleWebKit/532.2.7 (KHTML, like Gecko) Version/5.0.1 Safari/532.2.7",152.229.230.228,f1ae6bb4-5027-450b-ae2a-17b5c0372835,JWT,Valid,Logged In,internal,user,200,User Only,Allowed,Yes (IDOR),None,0.057,1,1,216
151,2025-04-24T17:14:14.270054,12,Admin,/api/user/50,GET,,"Mozilla/5.0 (Linux; Android 2.2.3) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/48.0.830.0 Safari/532.0",176.202.50.73,7b75f7a8-e211-4918-bf69-d3224498da0b,JWT,Valid,Logged In,restricted,user,403,Depends on Role,Denied,No,None,0.2138,0,0.7158,269
396,2025-04-24T17:14:14.444888,6,User,/api/orders/41,DELETE,https://larson.net/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3; rv:1.9.2.20) Gecko/6439-09-02 00:33:52.162201 Firefox/3.6.4,46.52.235.59,1e31c305-8cda-4cd0-ad85-0706b04d5c2d,JWT,Valid,Logged In,restricted,order,400,Admin Only,Denied,No,None,0.621,0,1,366
2,2025-04-24T17:14:14.173874,4,User,/api/products,GET,http://crawford.com/,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/535.32.1 (KHTML, like Gecko) Version/5.0.2 Safari/535.32.1",1.84.110.166,46c3b962-e510-4b17-a1f4-a0829286b8e0,JWT,Valid,Logged In,public,product,200,Allowed,Allowed,No,None,0.0379,0,0.2115,415
6,2025-04-24T17:14:14.178769,13,User,/api/search,GET,https://rivera-graham.org/,Opera/8.85.(X11; Linux i686; mi-NZ) Presto/2.9.183 Version/12.00,202.18.94.7,eace4d72-e346-41b3-9372-f381a28f8dde,JWT,Valid,Logged In,public,search,200,Allowed,Allowed,No,None,0.0441,0,0.2231,426
150,2025-04-24T17:14:14.275724,20,User,/api/user/profile,GET,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/21.0.870.0 Safari/531.1",145.19.196.93,ab5978c1-1283-49af-916e-9c2a66ca15fc,JWT,Valid,Logged In,internal,user,403,User Only,Denied,No,None,0.0409,0,0.5603,372
395,2025-04-24T17:14:14.444343,12,Guest,/api/account/change-password,GET,,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/62.0.820.0 Safari/535.0",176.202.50.73,50084775-2916-4ea2-ba73-9ded76d8da0f,None,Valid,Guest,internal,account,401,User Only,Denied,No,None,0.0787,0,0.7981,342
149,2025-04-24T17:14:14.279886,4,Guest,/api/search,GET,http://localhost:8081/some/page,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.50.5 (KHTML, like Gecko) Version/4.0.4 Safari/531.50.5",1.84.110.166,f942c505-cee2-4f07-9b78-fc1c42be3cf8,OAuth,Valid,Guest,public,search,200,Allowed,Allowed,No,None,0.0544,0,0.2504,337
394,2025-04-24T17:14:14.443603,33,User,/api/user/profile,GET,,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.1),39.81.2.159,d3cbe6f2-3cf1-4cc1-bdeb-c5ed8bde584c,OAuth,Valid,Logged In,internal,user,403,User Only,Denied,No,None,0.1793,0,0.5891,94
148,2025-04-24T17:14:14.285714,30,User,/api/account/change-password,POST,,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_5; rv:1.9.6.20) Gecko/8576-08-29 17:14:00.318207 Firefox/3.6.8,172.219.58.173,a6628ce2-f6f1-4eed-add7-80982d2f65c1,JWT,Valid,Logged In,internal,account,403,User Only,Denied,No,Particularly during speak nation night peace rest.,0.1057,0,1,104
393,2025-04-24T17:14:14.443034,47,Guest,/api/user/47,GET,http://localhost:3000/some/page,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/13.5c7730.0 Mobile/85K756 Safari/532.0",17.239.56.189,556223f1-0682-4406-ba25-755de246863a,None,Valid,Guest,restricted,user,401,Depends on Role,Denied,No,None,0.2312,0,0.7342,206
1,2025-04-24T17:14:14.173304,40,User,/api/payments/process,POST,http://localhost:3000/some/page,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_8 rv:4.0; kl-GL) AppleWebKit/532.3.2 (KHTML, like Gecko) Version/5.0.1 Safari/532.3.2",110.208.85.168,25989d0d-31fe-4275-8ca0-29524deddb9e,OAuth,Valid,Logged In,restricted,payment,403,Admin Only,Denied,No,"{""amount"":-100}",0.2203,0,1,257
392,2025-04-24T17:14:14.442439,1,Guest,/api/search,GET,http://localhost:3000/some/page,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; hi-IN) AppleWebKit/534.32.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6534.32.1",204.23.90.105,b220afeb-788d-4aa1-a6d0-0c0d5e1b6483,OAuth,Valid,Guest,public,search,200,Allowed,Allowed,No,None,0.051,0,0.2562,364
19,2025-04-24T17:14:14.189858,31,Guest,/api/products,GET,,Opera/9.15.(Windows NT 5.01; bn-BD) Presto/2.9.172 Version/10.00,164.59.76.174,7fac502b-35b5-4afd-a381-5d2b2667554f,None,Valid,Guest,public,product,200,Allowed,Allowed,No,None,0.0475,0,0.1824,314
391,2025-04-24T17:14:14.441908,32,User,/api/search,GET,http://localhost:8081/some/page,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/3.0),54.109.142.45,d1c6a385-98c5-4a05-a29b-b9a912209a34,OAuth,Valid,Logged In,public,search,200,Allowed,Allowed,No,None,0.0416,0,0.2072,431
147,2025-04-24T17:14:14.266009,34,Guest,/api/categories,GET,,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_6 rv:3.0; hne-IN) AppleWebKit/533.22.1 (KHTML, like Gecko) Version/4.1 Safari/533.22.1",163.195.7.64,6bd616a5-b4ad-46a3-a94e-c60d7690b38d,OAuth,Valid,Guest,public,category,200,Allowed,Allowed,No,"{""admin"":true}",0.0692,0,0.194,97
390,2025-04-24T17:14:14.441354,25,Admin,/api/user/profile,GET,http://localhost:8080/some/page,Opera/9.25.(X11; Linux x86_64; byn-ER) Presto/2.9.178 Version/11.00,111.26.109.11,b4c95d88-f324-439d-bbf1-be9b64cfb44d,JWT,Valid,Logged In,internal,user,200,User Only,Allowed,Yes (IDOR),None,0.1572,1,1,470
